Style Number,Color Code,Size,Alt Size
12402,001,9.5,M
12402,001,10,M
12402,001,11,M
12403,275,5,M
12403,275,5.5,M
12403,275,6,M
12403,275,6.5,M
12403,275,7,M
12403,275,7.5,M
12403,275,8,M
12403,275,8.5,M
12403,275,9,M
12403,275,9.5,M
12403,275,10,M
12403,275,11,M
12433,205,7,D
12433,205,7.5,D
12433,205,8,D
12433,205,8.5,D
12433,205,9,D
12433,205,9.5,D
12433,205,10,D
12433,205,10.5,D
12433,205,11,D
12433,205,11.5,D
12433,205,12,D
12433,205,13,D
12433,205,14,D
12433,205,15,D
12433,205,16,D
12433,205,8,EE
12433,205,8.5,EE
12433,205,9,EE
12433,205,9.5,EE
12433,205,10,EE
12433,205,10.5,EE
12433,205,11,EE
12433,205,11.5,EE
12433,205,12,EE
12433,205,13,EE
12433,205,14,EE
12433,205,15,EE
12435,205,7,D
12435,205,7.5,D
12435,205,8,D
12435,205,8.5,D
12435,205,9,D
12435,205,9.5,D
12435,205,10,D
12435,205,10.5,D
12435,205,11,D
12435,205,11.5,D
12435,205,12,D
12435,205,13,D
12435,205,14,D
12435,205,15,D
12435,205,16,D
12435,205,8,EE
12435,205,8.5,EE
12435,205,9,EE
12435,205,9.5,EE
12435,205,10,EE
12435,205,10.5,EE
12435,205,11,EE
12435,205,11.5,EE
12435,205,12,EE
12435,205,13,EE
12435,205,14,EE
12435,205,15,EE
12437,205,7,D
12437,205,7.5,D
12437,205,8,D
12437,205,8.5,D
12437,205,9,D
12437,205,9.5,D
12437,205,10,D
12437,205,10.5,D
12437,205,11,D
12437,205,11.5,D
12437,205,12,D
12437,205,13,D
12437,205,14,D
12437,205,8,EE
12437,205,8.5,EE
12437,205,9,EE
12437,205,9.5,EE
12437,205,10,EE
12437,205,10.5,EE
12437,205,11,EE
12437,205,11.5,EE
12437,205,12,EE
12437,205,13,EE
12439,205,8,D
12439,205,8.5,D
12439,205,9,D
12439,205,9.5,D
12439,205,10,D
12439,205,10.5,D
12439,205,11,D
12439,205,11.5,D
12439,205,12,D
12439,205,13,D
12439,205,14,D
12439,205,9,EE
12439,205,9.5,EE
12439,205,10,EE
12439,205,10.5,EE
12439,205,11,EE
12439,205,11.5,EE
12439,205,12,EE
12439,205,13,EE
12441,205,8,D
12441,205,8.5,D
12441,205,9,D
12441,205,9.5,D
12441,205,10,D
12441,205,10.5,D
12441,205,11,D
12441,205,11.5,D
12441,205,12,D
12441,205,13,D
12441,205,14,D
12441,205,8,EE
12441,205,8.5,EE
12441,205,9,EE
12441,205,9.5,EE
12441,205,10,EE
12441,205,10.5,EE
12441,205,11,EE
12441,205,11.5,EE
12441,205,12,EE
12441,205,13,EE
12530,205,7,D
12530,205,7.5,D
12530,205,8,D
12530,205,8.5,D
12530,205,9,D
12530,205,9.5,D
12530,205,10,D
12530,205,10.5,D
12530,205,11,D
12530,205,11.5,D
12530,205,12,D
12530,205,13,D
12530,205,14,D
12530,205,15,D
12530,205,16,D
12530,205,8,EE
12530,205,8.5,EE
12530,205,9,EE
12530,205,9.5,EE
12530,205,10,EE
12530,205,10.5,EE
12530,205,11,EE
12530,205,11.5,EE
12530,205,12,EE
12530,205,13,EE
12530,205,14,EE
12530,205,15,EE
12531,205,7,D
12531,205,7.5,D
12531,205,8,D
12531,205,8.5,D
12531,205,9,D
12531,205,9.5,D
12531,205,10,D
12531,205,10.5,D
12531,205,11,D
12531,205,11.5,D
12531,205,12,D
12531,205,13,D
12531,205,14,D
12531,205,15,D
12531,205,16,D
12531,205,8,EE
12531,205,8.5,EE
12531,205,9,EE
12531,205,9.5,EE
12531,205,10,EE
12531,205,10.5,EE
12531,205,11,EE
12531,205,11.5,EE
12531,205,12,EE
12531,205,13,EE
12531,205,14,EE
12531,205,15,EE
12532,205,7,D
12532,205,7.5,D
12532,205,8,D
12532,205,8.5,D
12532,205,9,D
12532,205,9.5,D
12532,205,10,D
12532,205,10.5,D
12532,205,11,D
12532,205,11.5,D
12532,205,12,D
12532,205,13,D
12532,205,14,D
12532,205,15,D
12532,205,16,D
12532,205,8,EE
12532,205,8.5,EE
12532,205,9,EE
12532,205,9.5,EE
12532,205,10,EE
12532,205,10.5,EE
12532,205,11,EE
